Region,Best score in 2019,Best score in 2021
Івано-Франківська область,200.0,200.0
Волинська область,200.0,199.0
Вінницька область,200.0,199.0
Дніпропетровська область,200.0,199.5
Донецька область,200.0,200.0
Житомирська область,200.0,199.5
Закарпатська область,199.5,198.5
Запорізька область,200.0,199.0
Київська область,200.0,200.0
Кіровоградська область,199.5,198.5
Луганська область,200.0,200.0
Львівська область,200.0,199.5
Миколаївська область,199.5,199.5
Одеська область,200.0,200.0
Полтавська область,200.0,199.5
Рівненська область,200.0,199.5
Сумська область,199.5,199.5
Тернопільська область,200.0,199.5
Харківська область,200.0,200.0
Херсонська область,199.0,199.0
Хмельницька область,200.0,199.0
Черкаська область,200.0,199.0
Чернівецька область,200.0,199.0
Чернігівська область,199.5,199.0
м.Київ,200.0,199.5
